City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
276,Fairbanks,US,0.1,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
277,Pozo Colorado,PY,73.35,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
278,Buraydah,SA,57.65,clear sky,26.326,43.975,فندق راحة السلام
280,Georgetown,MY,80.89,scattered clouds,5.4112,100.3354,Cititel Penang
281,Hambantota,LK,76.17,clear sky,6.1241,81.1185,Bungalow 63
282,Roblin,CA,-2.2,overcast clouds,51.23,-101.3565,"Harvest Moon Inn, Roblin Manitboa"
283,Laguna,US,55.24,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
285,Usinsk,RU,-14.76,broken clouds,65.9939,57.5281,Dobro Pozhalovaty
286,Patur,IN,67.78,clear sky,20.45,76.9333,Hotel Rana Washim Road Patur
288,Alexandria,EG,58.96,scattered clouds,31.2156,29.9553,Royal Crown Hotel
289,Svetlogorsk,BY,33.48,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
290,Correntina,BR,87.58,scattered clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
291,Gat,IL,55.08,broken clouds,31.61,34.7642,OlusHome
293,Ilulissat,GL,-1.19,overcast clouds,69.2167,-51.1,Hotel Arctic
295,Narasannapeta,IN,69.26,broken clouds,18.4167,84.05,G.lingaraju home
296,Kieta,PG,80.69,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
297,Severnoye,RU,12.65,overcast clouds,56.3491,78.3619,Gostinitsa Severyanka
298,Shingu,JP,38.91,few clouds,33.7333,135.9833,Shingu UI Hotel
299,Shellbrook,CA,-6.57,overcast clouds,53.2168,-106.4011,Shellbrook Hotel
300,Nanhai,CN,40.33,broken clouds,30.1282,111.7784,Jingnan Hotel
301,Ballina,AU,71.56,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
302,Santa Cruz,BO,82.45,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
303,Hithadhoo,MV,82.67,overcast clouds,-0.6,73.0833,Scoop Guest House
305,Altar,MX,54.82,clear sky,30.7,-111.8167,Hotel Maria Elena
306,Codrington,AU,57.27,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
307,Manadhoo,MV,81.37,scattered clouds,5.7667,73.3833,Bon Abri maldives
308,Wad Madani,SD,71.64,clear sky,14.4012,33.5199,فندق يوغسلافيا
309,Muroto,JP,39.22,scattered clouds,33.2833,134.15,Oota Ryokan
310,Muisne,EC,84.31,light rain,0.6,-80.0333,Quinta Samay
311,Memmingen,DE,38.8,clear sky,47.9837,10.1853,Allgäuhotel Memmingen Nord
312,La Ronge,CA,-9.18,broken clouds,55.1001,-105.2842,Northland Motor Hotel
313,Los Llanos De Aridane,ES,67.12,few clouds,28.6585,-17.9182,Valle Aridane
314,College,US,-0.02,overcast clouds,64.8569,-147.8028,Pike's Waterfront Lodge
317,Berea,US,22.91,snow,41.3662,-81.8543,Comfort Inn Cleveland Airport
318,Sioux Lookout,CA,-0.02,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
319,Borgosesia,IT,51.3,clear sky,45.7145,8.2799,Relax
320,Grand Gaube,MU,81.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
321,Khatanga,RU,-33.34,overcast clouds,71.9667,102.5,"""Khatanga"""
322,Honningsvag,NO,29.7,broken clouds,70.9821,25.9704,Nordkapp Vandrerhjem
323,Lucapa,AO,70.88,light rain,-8.4192,20.7447,Residência Ulisses Dos Santos
324,Krasnoarmeysk,RU,13.05,broken clouds,51.0239,45.6969,"Hotel ""Your home-Balzer"""
325,Camacha,PT,66.52,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
326,Verkhnevilyuysk,RU,-18.99,overcast clouds,63.4453,120.3167,Gostinitsa Mila
327,Iqaluit,CA,-25.31,broken clouds,63.7506,-68.5145,Frobisher Inn
328,Shetpe,KZ,30.43,overcast clouds,44.1667,52.1167,Rtsm Shetpe Analog
329,Paka,MY,80.53,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
330,Itoman,JP,59.02,overcast clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
331,Jinchang,CN,15.98,overcast clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
332,Galanta,SK,43.03,few clouds,48.19,17.7275,Hotel Galanta
333,Paramirim,BR,87.06,broken clouds,-13.4425,-42.2389,Pousada Rio Pequeno
334,Esperance,AU,67.84,clear sky,-33.8667,121.9,Hospitality Esperance
335,Hays,US,43.72,clear sky,30.0502,-98.0336,Sinya on Lone Man Creek
336,Bosaso,SO,75.15,overcast clouds,11.2842,49.1816,Red Sea Hotel
337,Port Hedland,AU,86.05,broken clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
338,Malm,NO,35.78,light rain,64.0721,11.2172,Inn-Trøndelag Skatteoppkreverkontor
339,Kamyaran,IR,38.01,broken clouds,34.7956,46.9355,Mobile Adab موبایل ادب
340,Dong Hoi,VN,61.79,overcast clouds,17.4833,106.6,Nam Long Hotel
341,Nchelenge,ZM,70.59,light rain,-9.3451,28.734,KD Travellers Home
342,Slantsy,RU,27.52,snow,59.1182,28.0914,Tsemotel
343,Saint-Ambroise,CA,0.14,overcast clouds,48.5501,-71.3324,Motel Saint-Ambroise
344,Piacabucu,BR,86.11,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
345,Great Yarmouth,GB,49.3,overcast clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
346,Annau,TM,45.9,broken clouds,37.8876,58.516,"Гостиница ""Уссат инженер"""
347,Acarau,BR,84.58,overcast clouds,-2.8856,-40.12,castelo pizzaria
348,Emerald,AU,71.74,clear sky,-23.5333,148.1667,The Irish Village
