City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
248,Tocopilla,CL,2022-06-07 22:46:43,-22.092,-70.1979,62.6,77,24,0.72
249,Te Anau,NZ,2022-06-07 22:46:43,-45.4167,167.7167,49.57,83,61,3.62
250,Cayenne,GF,2022-06-07 22:46:43,4.9333,-52.3333,80.1,1,20,4.61
251,Mar Del Plata,AR,2022-06-07 22:45:24,-38.0023,-57.5575,58.08,73,0,16.11
252,Sobolevo,RU,2022-06-07 22:46:44,54.4299,31.8996,57.36,85,58,4.59
253,Aloleng,PH,2022-06-07 22:46:44,16.1307,119.7824,82.26,76,100,4.45
254,Taitung,TW,2022-06-07 22:46:44,22.7583,121.1444,77.27,100,75,1.14
255,Stavern,NO,2022-06-07 22:46:45,59.0,10.0333,58.3,95,100,9.95
256,Marietta,US,2022-06-07 22:45:00,33.9526,-84.5499,82.08,80,100,5.75
257,General Roca,AR,2022-06-07 22:46:45,-39.0333,-67.5833,54.63,53,29,9.6
258,Ambon,ID,2022-06-07 22:46:45,-3.6954,128.1814,77.14,94,20,1.14
259,Fos-Sur-Mer,FR,2022-06-07 22:46:46,43.4377,4.9446,75.11,43,0,11.5
260,Atasu,KZ,2022-06-07 22:46:46,48.6814,71.6433,67.39,26,44,11.34
261,Trinidad,BO,2022-06-07 22:46:46,-14.8333,-64.9,76.98,78,100,4.61
262,Birao,CF,2022-06-07 22:46:46,10.2849,22.7882,82.45,47,70,6.08
263,Nome,US,2022-06-07 22:45:13,64.5011,-165.4064,73.17,37,0,12.66
264,Mwinilunga,ZM,2022-06-07 22:46:47,-11.7358,24.4293,53.44,67,0,8.72
265,Lewistown,US,2022-06-07 22:46:47,40.5992,-77.5714,71.26,100,75,6.91
266,Shakawe,BW,2022-06-07 22:46:48,-18.3667,21.85,49.24,58,0,5.95
267,Catamarca,AR,2022-06-07 22:46:48,-28.4696,-65.7852,63.77,49,1,1.01
268,Sarangani,PH,2022-06-07 22:46:48,5.4033,125.4636,82.04,74,100,3.24
269,Denia,ES,2022-06-07 22:46:49,38.8408,0.1057,74.8,85,44,1.99
270,Biltine,TD,2022-06-07 22:46:49,14.5333,20.9167,89.13,14,4,14.34
271,Am Timan,TD,2022-06-07 22:46:49,11.0297,20.2827,86.63,36,59,5.93
272,Porto Real Do Colegio,BR,2022-06-07 22:47:04,-10.1858,-36.84,70.61,90,34,3.53
273,Ponta Do Sol,PT,2022-06-07 22:47:05,32.6667,-17.1,74.03,83,0,2.28
274,Nikki,BJ,2022-06-07 22:47:05,9.9401,3.2108,74.7,79,52,4.61
275,Kieta,PG,2022-06-07 22:47:05,-6.2167,155.6333,78.26,87,100,0.63
276,Inhambane,MZ,2022-06-07 22:47:06,-23.865,35.3833,66.51,72,41,8.79
277,Fairview,US,2022-06-07 22:46:35,40.8126,-73.999,73.22,73,40,19.57
278,Jiayuguan,CN,2022-06-07 22:47:06,39.8167,98.3,63.12,20,72,4.81
279,Balaguer,ES,2022-06-07 22:47:06,41.7912,0.8109,72.36,79,57,9.57
280,Zhigansk,RU,2022-06-07 22:46:09,66.7697,123.3711,57.49,77,8,13.18
281,Loubomo,CG,2022-06-07 22:47:07,-4.1997,12.6739,70.29,89,100,4.23
282,Krasnoselkup,RU,2022-06-07 22:47:07,65.7,82.4667,47.37,73,100,8.68
283,Mogadishu,SO,2022-06-07 22:47:07,2.0371,45.3438,78.78,81,60,19.37
284,Tallahassee,US,2022-06-07 22:46:59,30.4383,-84.2807,93.04,56,75,3.44
285,Poum,NC,2022-06-07 22:47:08,-20.2333,164.0167,77.76,75,100,16.78
286,Sarishabari,BD,2022-06-07 22:47:08,24.7333,89.8333,81.1,90,94,10.25
287,Sao Joao Da Barra,BR,2022-06-07 22:47:09,-21.6403,-41.0511,71.37,70,64,3.91
288,Jieshi,CN,2022-06-07 22:47:09,22.8134,115.8257,78.57,87,100,4.92
289,Paciran,ID,2022-06-07 22:47:09,-6.8767,112.3761,79.47,85,91,6.17
290,Yeppoon,AU,2022-06-07 22:47:10,-23.1333,150.7333,58.78,50,9,8.61
291,Ayagoz,KZ,2022-06-07 22:47:10,47.9714,80.4392,55.74,46,1,5.59
292,Vostok,RU,2022-06-07 22:47:11,46.4856,135.8833,59.16,69,100,2.1
293,Dondaicha,IN,2022-06-07 22:47:11,21.3333,74.5667,83.21,71,7,23.35
